Cancer id,Cancer label,Population code (ISO/UN),Population,Alpha‑3 code,Sex,Type,Prevalence (Prop. (W)) per 100 000
40,All cancers excl. non-melanoma skin cancer,360,Indonesia,IDN,0,2,84.54
40,All cancers excl. non-melanoma skin cancer,364,"Iran, Islamic Republic of",IRN,0,2,98.53
40,All cancers excl. non-melanoma skin cancer,368,Iraq,IRQ,0,2,84.65
40,All cancers excl. non-melanoma skin cancer,372,Ireland,IRL,0,2,268.19
40,All cancers excl. non-melanoma skin cancer,376,Israel,ISR,0,2,204.98
40,All cancers excl. non-melanoma skin cancer,380,Italy,ITA,0,2,223.33
40,All cancers excl. non-melanoma skin cancer,384,"Côte d'Ivoire",CIV,0,2,69.64
40,All cancers excl. non-melanoma skin cancer,388,Jamaica,JAM,0,2,135.42
40,All cancers excl. non-melanoma skin cancer,392,Japan,JPN,0,2,215.75
40,All cancers excl. non-melanoma skin cancer,398,Kazakhstan,KAZ,0,2,110.87
40,All cancers excl. non-melanoma skin cancer,400,Jordan,JOR,0,2,102.36
40,All cancers excl. non-melanoma skin cancer,404,Kenya,KEN,0,2,84.18
40,All cancers excl. non-melanoma skin cancer,408,"Korea, Democratic People Republic of",PRK,0,2,92.85
40,All cancers excl. non-melanoma skin cancer,410,"Korea, Republic of",KOR,0,2,188.93
40,All cancers excl. non-melanoma skin cancer,414,Kuwait,KWT,0,2,80.9
40,All cancers excl. non-melanoma skin cancer,417,Kyrgyzstan,KGZ,0,2,75.19
40,All cancers excl. non-melanoma skin cancer,418,"Lao People's Democratic Republic",LAO,0,2,88.14
40,All cancers excl. non-melanoma skin cancer,422,Lebanon,LBN,0,2,111.31
40,All cancers excl. non-melanoma skin cancer,426,Lesotho,LSO,0,2,60.31
40,All cancers excl. non-melanoma skin cancer,428,Latvia,LVA,0,2,222.44
40,All cancers excl. non-melanoma skin cancer,430,Liberia,LBR,0,2,53.21
40,All cancers excl. non-melanoma skin cancer,434,Libya,LBY,0,2,84.17
40,All cancers excl. non-melanoma skin cancer,440,Lithuania,LTU,0,2,232.95
40,All cancers excl. non-melanoma skin cancer,442,Luxembourg,LUX,0,2,209.14
