,Population,Alpha‑3 code,Cancer id,Prevalence (Prop. (W)) per 100 000
173,North Macedonia,MKD,15,16.77
174,Egypt,EGY,15,4.65
175,United Kingdom,GBR,15,15.82
176,"Tanzania, United Republic of",TZA,15,1.39
177,United States of America,USA,15,17.05
178,Burkina Faso,BFA,15,2.03
179,Uruguay,URY,15,16.0
180,Uzbekistan,UZB,15,4.56
181,Venezuela,VEN,15,8.41
182,Samoa,WSM,15,18.22
183,Yemen,YEM,15,2.38
184,Zambia,ZMB,15,1.52
